0#0,0,0
1#101,1,0
2#102,2,0
3#103,3,0
4#104,4,0
5#105,5,0
6#106,6,0
7#107,7,0
8#108,8,0
9#109,9,0
10#110,10,0
11#111,11,0
12#112,12,0
13#113,13,0
14#114,14,0
15#115,15,0
16#116,16,0
17#117,17,0
18#118,18,0
19#119,19,0
20#120,20,0
21#121,21,0
22#122,22,0
23#123,23,0
24#124,24,0
25#125,25,0
26#126,26,0
27#127,27,0
28#128,28,0
29#129,29,0
30#130,30,0
31#131,31,0
32#132,32,0
33#133,33,0
34#134,34,0
35#135,35,0
36#136,36,0
37#137,37,0
38#138,38,0
39#139,39,0
40#140,40,0
41#141,41,0
42#142,42,0
43#143,43,0
44#144,44,0
45#145,45,0
46#146,46,0
47#147,47,0
48#148,48,0
49#149,49,0
50#150,50,0
51#151,51,0
52#152,52,0
53#153,53,0
54#154,54,0
55#155,55,0
56#156,56,0
57#157,57,0
58#158,58,0
59#159,59,0
60#160,60,0
61#161,61,0
62#200,62,0
63#201,63,0
64#202,64,0
65#203,65,0
66#204,66,0
67#205,67,0
68#206,68,0
69#207,69,0
70#208,70,0
71#209,71,0
72#210,72,0
73#211,73,0
74#212,74,0
75#213,75,0
76#214,76,0
77#215,77,0
78#216,78,0
79#217,79,0
80#218,80,0
81#219,81,0
82#220,82,0
83#221,83,0
84#222,84,0
85#223,85,0
86#224,86,0
87#300,87,0
88#301,88,0
89#302,89,0
90#303,90,0
91#304,91,0
92#305,92,0
93#306,93,0
94#307,94,0
95#308,95,0
96#309,96,0
97#310,97,0
98#311,98,0
99#312,99,0
100#313,100,0
101#314,101,0
102#315,102,0
103#316,103,0
104#317,104,0
105#318,105,0
106#319,106,0
107#320,107,0
108#321,108,0
109#322,109,0
110#323,110,0
111#324,111,0
112#325,112,0
113#326,113,0
114#327,114,0
115#0,115,0
116#400,0,0
117#401,0,0
118#402,0,0
119#403,0,0
120#404,0,0
121#405,0,0
122#406,0,0
123#407,0,0
124#408,0,0
125#409,0,0
126#410,0,0
127#411,0,0
128#412,0,0
129#413,0,0
130#414,0,0
131#415,0,0
132#416,0,0
133#417,0,0
134#418,0,0
135#419,0,0
136#420,0,0
137#421,0,0
138#422,0,0
139#423,0,0
140#424,0,0
141#425,0,0
142#426,0,0
143#427,0,0
144#428,0,0
145#429,0,0
146#430,0,0
147#431,0,0
148#432,0,0
149#433,0,0
150#434,0,0
151#435,0,0
152#436,0,0
153#437,0,0
154#438,0,0
155#439,0,0
156#500,0,0
157#501,0,0
158#502,0,0
159#503,0,0
160#504,0,0
161#505,0,0
162#506,0,0
163#507,0,0
164#508,0,0
165#509,0,0
166#510,0,0
167#511,0,0
168#512,0,0
169#513,0,0
170#514,0,0
171#515,0,0
172#516,0,0
173#517,0,0
174#518,0,0
175#519,0,0
176#520,0,0
177#521,0,0
178#522,0,0
179#523,0,0
180#524,0,0
181#525,0,0
182#526,0,0
183#527,0,0
184#528,0,0
185#529,0,0
186#530,0,0
187#531,0,0
188#532,0,0
189#533,0,0
190#534,0,0
191#535,0,0
192#536,0,0
193#537,0,0
194#538,0,0
195#539,0,0
196#540,0,0
197#541,0,0
198#542,0,0
199#600,0,0
200#601,0,0
201#602,0,0
202#603,0,0
203#604,0,0
204#605,0,0
205#700,0,0
206#701,0,0
207#702,0,0
208#703,0,0
209#704,0,0
210#705,0,0
211#706,0,0
212#707,0,0
213#708,0,0
214#709,0,0
215#710,0,0
216#711,0,0
217#712,0,0
218#713,0,0
219#714,0,0
220#715,0,0
221#716,0,0
222#717,0,0
223#718,0,0
224#719,0,0
225#720,0,0
226#721,0,0
227#722,0,0
228#723,0,0
229#724,0,0
230#725,0,0
231#726,0,0
232#727,0,0
233#728,0,0
234#729,0,0
235#730,0,0
236#731,0,0
237#732,0,0
238#800,0,0
239#801,0,0
240#0,0,0
241#0,0,0
242#0,0,0
243#0,0,0
244#0,0,0
245#0,0,0
246#0,0,0
247#0,0,0
248#0,0,0
249#0,0,0
250#0,0,0
251#0,0,0
252#0,0,0
253#0,0,0
254#0,0,0
255#0,0,0
256#0,0,0
257#0,0,0
258#0,0,0
259#0,0,0
260#0,0,0
261#0,0,0
262#0,0,0
263#0,0,0
264#0,0,0
265#0,0,0
266#0,0,0
267#0,0,0
268#0,0,0
269#0,0,0
270#0,0,0
271#0,0,0
272#0,0,0
273#0,0,0
274#0,0,0
275#0,0,0
276#0,0,0
277#0,0,0
278#0,0,0
279#0,0,0
280#0,0,0
281#0,0,0
282#0,0,0
283#0,0,0
284#0,0,0
285#0,0,0
286#0,0,0
287#0,0,0
288#0,0,0
289#0,0,0
290#0,0,0
291#0,0,0
292#0,0,0
293#0,0,0
294#0,0,0
295#0,0,0
296#0,0,0
297#0,0,0
298#0,0,0
299#0,0,0
300#0,0,0

